"";"latitude";"longitude";"unixtime";"velocidades";"file_name"
"669";41,903635;12,488658;2014-02-12 12:02:46;0;85
"676";41,909084;12,488563;2014-02-12 12:02:49;14;301
"680";41,903781;12,488421;2014-02-12 12:02:49;2;48
"688";41,904227;12,494364;2014-02-12 12:02:51;1;242
"697";41,906812;12,490152;2014-02-12 12:02:53;0;24
"698";41,907657;12,4906;2014-02-12 12:02:53;0;349
"695";41,903843;12,489094;2014-02-12 12:02:53;0;131
"700";41,902465;12,496076;2014-02-12 12:02:54;13;261
"707";41,907891;12,49162;2014-02-12 12:02:55;0;320
"701";41,90322;12,496132;2014-02-12 12:02:55;0;100
"708";41,907625;12,490318;2014-02-12 12:02:55;0;81
"709";41,905896;12,488887;2014-02-12 12:02:56;26;126
"767";41,903635;12,488658;2014-02-12 12:02:56;0;85
"775";41,904202;12,494367;2014-02-12 12:02:59;0;242
"778";41,903767;12,488332;2014-02-12 12:02:59;32;48
"780";41,908728;12,488825;2014-02-12 12:03:00;24;301
"788";41,906812;12,490152;2014-02-12 12:03:02;0;24
"791";41,907621;12,490316;2014-02-12 12:03:02;0;81
"796";41,907657;12,4906;2014-02-12 12:03:03;0;349
"794";41,903843;12,489094;2014-02-12 12:03:03;0;131
"743";41,907891;12,49162;2014-02-12 12:03:04;2;320
"748";41,902416;12,496565;2014-02-12 12:03:05;10;261
"744";41,903208;12,496126;2014-02-12 12:03:05;0;100
"750";41,906133;12,489727;2014-02-12 12:03:06;5;126
"753";41,903635;12,488658;2014-02-12 12:03:06;0;85
"762";41,904212;12,494354;2014-02-12 12:03:09;0;242
"764";41,908249;12,489207;2014-02-12 12:03:09;29;301
"765";41,903861;12,489413;2014-02-12 12:03:09;56;48
"833";41,906812;12,490152;2014-02-12 12:03:12;0;24
"841";41,907657;12,4906;2014-02-12 12:03:13;0;349
"839";41,903843;12,489094;2014-02-12 12:03:13;0;131
"847";41,902241;12,496813;2014-02-12 12:03:15;22;261
"842";41,903218;12,496127;2014-02-12 12:03:15;1;100
"850";41,907621;12,490316;2014-02-12 12:03:15;0;81
"851";41,906173;12,489889;2014-02-12 12:03:16;5;126
"799";41,903635;12,488658;2014-02-12 12:03:16;0;85
"802";41,907953;12,491571;2014-02-12 12:03:17;0;320
"808";41,904216;12,494377;2014-02-12 12:03:19;0;242
"809";41,907612;12,48968;2014-02-12 12:03:19;1;301
"810";41,904322;12,491215;2014-02-12 12:03:19;25;48
"798";41,906812;12,490152;2014-02-12 12:03:25;17;24
"858";41,907657;12,4906;2014-02-12 12:03:25;0;349
"824";41,903843;12,489094;2014-02-12 12:03:25;0;131
"857";41,907953;12,491571;2014-02-12 12:03:25;0;320
"859";41,907621;12,490316;2014-02-12 12:03:25;0;81
"860";41,9032;12,496077;2014-02-12 12:03:26;0;100
"982";41,903635;12,488658;2014-02-12 12:03:26;0;85
"999";41,904216;12,494395;2014-02-12 12:03:29;0;242
"1000";41,907572;12,489711;2014-02-12 12:03:29;0;301
"1002";41,904619;12,491962;2014-02-12 12:03:29;7;48
"864";41,906281;12,490149;2014-02-12 12:03:31;50;126
"870";41,906513;12,490185;2014-02-12 12:03:32;33;24
"874";41,907621;12,490316;2014-02-12 12:03:32;0;81
"880";41,907657;12,4906;2014-02-12 12:03:33;0;349
"878";41,903843;12,489094;2014-02-12 12:03:33;0;131
"891";41,907953;12,491571;2014-02-12 12:03:35;0;320
"884";41,903189;12,496075;2014-02-12 12:03:35;1;100
"887";41,907974;12,49189;2014-02-12 12:03:35;0;237
"888";41,907974;12,49189;2014-02-12 12:03:35;0;237
"919";41,906896;12,490345;2014-02-12 12:03:36;6;126
"922";41,903635;12,488658;2014-02-12 12:03:36;0;85
"924";41,907974;12,49189;2014-02-12 12:03:37;0;237
"932";41,907572;12,489711;2014-02-12 12:03:39;0;301
"938";41,904227;12,494408;2014-02-12 12:03:41;0;242
"949";41,905996;12,489177;2014-02-12 12:03:43;40;24
"950";41,907657;12,4906;2014-02-12 12:03:43;1;349
"894";41,907625;12,490312;2014-02-12 12:03:43;0;81
"898";41,903843;12,489094;2014-02-12 12:03:46;0;131
"904";41,907935;12,491583;2014-02-12 12:03:46;0;320
"895";41,903177;12,496112;2014-02-12 12:03:46;1;100
"905";41,904708;12,492356;2014-02-12 12:03:46;9;48
"897";41,907055;12,490252;2014-02-12 12:03:46;0;126
"907";41,903635;12,488658;2014-02-12 12:03:46;0;85
"916";41,907974;12,49189;2014-02-12 12:03:49;0;237
"917";41,907572;12,489711;2014-02-12 12:03:49;8;301
"918";41,904707;12,492453;2014-02-12 12:03:49;0;48
"915";41,903597;12,488354;2014-02-12 12:03:49;23;119
"1033";41,904234;12,494384;2014-02-12 12:03:50;0;242
"1048";41,907637;12,490621;2014-02-12 12:03:53;4;349
"1051";41,907627;12,49028;2014-02-12 12:03:53;2;81
"1052";41,903843;12,489094;2014-02-12 12:03:54;0;131
"1053";41,907926;12,491583;2014-02-12 12:03:54;0;320
"1059";41,907055;12,490252;2014-02-12 12:03:56;11;126
"953";41,903635;12,488658;2014-02-12 12:03:56;0;85
"954";41,903144;12,496105;2014-02-12 12:03:57;0;100
"955";41,903796;12,488914;2014-02-12 12:03:57;17;119
"967";41,9074;12,489875;2014-02-12 12:03:59;1;301
"969";41,904707;12,492453;2014-02-12 12:03:59;0;48
"974";41,904238;12,494381;2014-02-12 12:04:00;0;242
"985";41,907974;12,49189;2014-02-12 12:04:02;0;237
"1005";41,90761;12,490208;2014-02-12 12:04:03;0;81
"1008";41,907509;12,490676;2014-02-12 12:04:04;1;349
"1006";41,903843;12,489094;2014-02-12 12:04:04;2;131
"1007";41,907923;12,491578;2014-02-12 12:04:04;1;320
"1012";41,907299;12,490064;2014-02-12 12:04:06;33;126
"1015";41,903147;12,496109;2014-02-12 12:04:07;0;100
"1141";41,907506;12,490618;2014-02-12 12:04:17;3;349
"1026";41,903901;12,489052;2014-02-12 12:04:17;0;131
"1138";41,90789;12,491605;2014-02-12 12:04:17;1;320
"1019";41,903123;12,496118;2014-02-12 12:04:17;0;100
"1126";41,907974;12,49189;2014-02-12 12:04:17;0;237
"1127";41,907974;12,49189;2014-02-12 12:04:17;0;237
"1129";41,904249;12,494388;2014-02-12 12:04:17;7;242
"1135";41,907366;12,489933;2014-02-12 12:04:17;29;301
"1144";41,904707;12,492453;2014-02-12 12:04:17;0;48
"1185";41,907596;12,490177;2014-02-12 12:04:17;0;81
"1024";41,908056;12,489389;2014-02-12 12:04:17;27;126
"1192";41,903635;12,488658;2014-02-12 12:04:17;0;85
"1196";41,903635;12,488658;2014-02-12 12:04:17;0;85
"1062";41,904354;12,490866;2014-02-12 12:04:18;22;119
"1075";41,904284;12,494395;2014-02-12 12:04:19;0;242
"1078";41,904707;12,492453;2014-02-12 12:04:19;11;48
"1094";41,907596;12,490177;2014-02-12 12:04:22;0;81
"1101";41,907543;12,490576;2014-02-12 12:04:23;1;349
"1096";41,903901;12,489052;2014-02-12 12:04:23;0;131
"1099";41,907454;12,490521;2014-02-12 12:04:23;71;301
"1106";41,90791;12,491623;2014-02-12 12:04:24;0;320
"1107";41,903123;12,496117;2014-02-12 12:04:25;1;100
"1113";41,908573;12,488951;2014-02-12 12:04:26;18;126
"1119";41,907974;12,49189;2014-02-12 12:04:27;0;237
"1118";41,904567;12,491479;2014-02-12 12:04:27;1;119
"1150";41,903635;12,488658;2014-02-12 12:04:28;4;85
"1152";41,907874;12,49184;2014-02-12 12:04:29;14;301
"1153";41,904698;12,492834;2014-02-12 12:04:29;11;48
"1156";41,904302;12,494406;2014-02-12 12:04:30;1;242
"1165";41,904767;12,488356;2014-02-12 12:04:32;12;24
"1172";41,907554;12,490534;2014-02-12 12:04:33;1;349
"1167";41,903901;12,489052;2014-02-12 12:04:33;0;131
"1173";41,907596;12,490177;2014-02-12 12:04:33;0;81
"1175";41,903901;12,489052;2014-02-12 12:04:34;6;131
"1184";41,907926;12,491628;2014-02-12 12:04:35;2;320
"1179";41,903149;12,496122;2014-02-12 12:04:35;0;100
"1186";41,908976;12,48867;2014-02-12 12:04:36;18;126
"1190";41,903716;12,488714;2014-02-12 12:04:36;0;85
"1191";41,904584;12,491526;2014-02-12 12:04:37;8;119
"1202";41,90427;12,494392;2014-02-12 12:04:39;0;242
"1204";41,907827;12,492314;2014-02-12 12:04:39;25;301
"1205";41,904732;12,493224;2014-02-12 12:04:39;0;48
"1214";41,904483;12,488489;2014-02-12 12:04:42;9;24
"1281";41,907566;12,490501;2014-02-12 12:04:43;2;349
"1282";41,907596;12,490177;2014-02-12 12:04:43;0;81
"1283";41,90398;12,48886;2014-02-12 12:04:44;0;131
"1288";41,907878;12,491656;2014-02-12 12:04:45;1;320
"1285";41,903159;12,496103;2014-02-12 12:04:45;0;100
"1291";41,904636;12,491787;2014-02-12 12:04:47;10;119
"1297";41,903716;12,488714;2014-02-12 12:04:47;0;85
"1335";41,904732;12,493224;2014-02-12 12:04:49;0;48
"1337";41,904252;12,494396;2014-02-12 12:04:50;0;242
"1341";41,907112;12,492706;2014-02-12 12:04:51;20;301
"1353";41,907563;12,490434;2014-02-12 12:04:53;0;349
"1355";41,907596;12,490177;2014-02-12 12:04:53;0;81
"1357";41,90398;12,48886;2014-02-12 12:04:54;3;131
"1361";41,907893;12,491628;2014-02-12 12:04:54;0;320
"1362";41,903169;12,496115;2014-02-12 12:04:55;2;100
"1221";41,904162;12,488669;2014-02-12 12:04:56;37;24
"1224";41,903716;12,488714;2014-02-12 12:04:56;12;85
"1228";41,904248;12,494379;2014-02-12 12:05:00;0;242
"1230";41,906664;12,492879;2014-02-12 12:05:00;32;301
"1233";41,904732;12,493224;2014-02-12 12:05:00;0;48
"1225";41,904712;12,492219;2014-02-12 12:05:00;5;119
"1242";41,903676;12,488274;2014-02-12 12:05:02;1;24
"1250";41,904005;12,488748;2014-02-12 12:05:04;0;131
"1253";41,907906;12,491618;2014-02-12 12:05:04;0;320
"1254";41,903221;12,496153;2014-02-12 12:05:05;1;100
"1259";41,907596;12,490177;2014-02-12 12:05:05;0;81
"1264";41,907563;12,490434;2014-02-12 12:05:06;0;349
"1261";41,907974;12,49189;2014-02-12 12:05:06;0;237
"1262";41,907974;12,49189;2014-02-12 12:05:06;0;237
"1266";41,90385;12,489102;2014-02-12 12:05:06;3;85
"1267";41,904731;12,492349;2014-02-12 12:05:07;0;119
"1305";41,904251;12,494368;2014-02-12 12:05:09;1;242
"1306";41,90627;12,492059;2014-02-12 12:05:09;28;301
"1307";41,904732;12,493224;2014-02-12 12:05:09;0;48
"1313";41,907974;12,49189;2014-02-12 12:05:11;0;237
"1317";41,903649;12,488231;2014-02-12 12:05:12;0;24
"1321";41,907594;12,490187;2014-02-12 12:05:12;1;81
"1326";41,907563;12,490434;2014-02-12 12:05:13;0;349
"1329";41,907911;12,491615;2014-02-12 12:05:14;0;320
"1429";41,902402;12,495673;2014-02-12 12:05:15;0;330
"1430";41,902402;12,495673;2014-02-12 12:05:15;85;330
"1330";41,903205;12,496118;2014-02-12 12:05:15;1;100
"1434";41,903924;12,489078;2014-02-12 12:05:16;0;85
"1435";41,904731;12,492349;2014-02-12 12:05:17;0;119
"1441";41,904281;12,494371;2014-02-12 12:05:19;1;242
"1443";41,905896;12,491244;2014-02-12 12:05:19;26;301
"1446";41,904732;12,493224;2014-02-12 12:05:19;6;48
"1369";41,902159;12,49543;2014-02-12 12:05:22;8;330
"1366";41,907974;12,49189;2014-02-12 12:05:22;0;237
"1376";41,907563;12,490434;2014-02-12 12:05:23;0;349
"1377";41,907542;12,490165;2014-02-12 12:05:23;4;81
"1382";41,907896;12,491616;2014-02-12 12:05:24;0;320
"1383";41,903196;12,496078;2014-02-12 12:05:25;1;100
"1390";41,903924;12,489078;2014-02-12 12:05:26;0;85
"1391";41,904731;12,492349;2014-02-12 12:05:27;0;119
"1463";41,904259;12,494341;2014-02-12 12:05:29;1;242
"1465";41,905454;12,491902;2014-02-12 12:05:29;22;301
"1466";41,904687;12,493423;2014-02-12 12:05:29;21;48
"1478";41,903649;12,488231;2014-02-12 12:05:30;0;24
"1501";41,903649;12,488231;2014-02-12 12:05:32;0;24
"1500";41,907974;12,49189;2014-02-12 12:05:32;0;237
"1510";41,907563;12,490434;2014-02-12 12:05:33;0;349
"1511";41,90746;12,490084;2014-02-12 12:05:33;1;81
"1512";41,907881;12,491613;2014-02-12 12:05:34;0;320
"1460";41,904731;12,492349;2014-02-12 12:05:37;17;119
"1471";41,903924;12,489078;2014-02-12 12:05:37;0;85
"1472";41,903219;12,496131;2014-02-12 12:05:38;0;100
"1479";41,904275;12,49431;2014-02-12 12:05:39;0;242
"1481";41,905232;12,492597;2014-02-12 12:05:39;9;301
"1482";41,904445;12,494052;2014-02-12 12:05:39;6;48
"1488";41,907974;12,49189;2014-02-12 12:05:41;0;237
"1402";41,907567;12,490433;2014-02-12 12:05:43;3;349
"1405";41,907881;12,491613;2014-02-12 12:05:44;1;320
"1406";41,90323;12,496144;2014-02-12 12:05:45;1;100
"1414";41,907419;12,490076;2014-02-12 12:05:46;2;81
"1415";41,904845;12,492904;2014-02-12 12:05:47;9;119
"1419";41,903924;12,489078;2014-02-12 12:05:47;0;85
"1421";41,903649;12,488231;2014-02-12 12:05:48;0;24
"1519";41,90515;12,492895;2014-02-12 12:05:49;2;301
"1520";41,904322;12,494197;2014-02-12 12:05:49;3;48
"1532";41,903649;12,488231;2014-02-12 12:05:52;0;24
"1533";41,904294;12,494277;2014-02-12 12:05:52;0;242
"1537";41,907393;12,490041;2014-02-12 12:05:52;0;81
"1542";41,907555;12,490325;2014-02-12 12:05:53;0;349
"1545";41,907846;12,49163;2014-02-12 12:05:54;0;320
"1546";41,903269;12,49614;2014-02-12 12:05:55;2;100
"1690";41,904828;12,493236;2014-02-12 12:05:57;0;119
"1696";41,903924;12,489078;2014-02-12 12:05:57;0;85
"1702";41,905219;12,492927;2014-02-12 12:05:59;14;301
"1703";41,904278;12,494286;2014-02-12 12:05:59;0;48
"1706";41,904303;12,494299;2014-02-12 12:06:00;0;242
"1714";41,903649;12,488231;2014-02-12 12:06:02;4;24
"1713";41,907974;12,49189;2014-02-12 12:06:02;0;237
"1737";41,907532;12,490322;2014-02-12 12:06:04;0;349
"1736";41,907845;12,491615;2014-02-12 12:06:04;0;320
"1739";41,907377;12,490017;2014-02-12 12:06:04;0;81
"1740";41,903332;12,496149;2014-02-12 12:06:05;1;100
"1741";41,907974;12,49189;2014-02-12 12:06:05;0;237
"1754";41,904294;12,494318;2014-02-12 12:06:10;0;242
"1758";41,905012;12,493378;2014-02-12 12:06:10;13;301
"1551";41,904278;12,494286;2014-02-12 12:06:10;7;48
"1747";41,904828;12,493236;2014-02-12 12:06:10;0;119
"1554";41,903924;12,489078;2014-02-12 12:06:10;0;85
"1558";41,907974;12,49189;2014-02-12 12:06:11;0;237
"1562";41,903546;12,488232;2014-02-12 12:06:12;17;24
"1572";41,907527;12,490311;2014-02-12 12:06:13;0;349
"1573";41,907383;12,490011;2014-02-12 12:06:13;1;81
"1579";41,90784;12,491615;2014-02-12 12:06:15;0;320
"1576";41,903298;12,496114;2014-02-12 12:06:15;4;100
"1584";41,903924;12,489078;2014-02-12 12:06:16;0;85
"1585";41,904828;12,493236;2014-02-12 12:06:17;0;119
"1594";41,904167;12,494448;2014-02-12 12:06:19;5;48
"1597";41,904294;12,494342;2014-02-12 12:06:20;0;242
"1601";41,904714;12,493699;2014-02-12 12:06:21;1;301
"1606";41,903205;12,488596;2014-02-12 12:06:22;24;24
"1605";41,907974;12,49189;2014-02-12 12:06:22;0;237
"1614";41,907383;12,490055;2014-02-12 12:06:23;4;81
"1620";41,90784;12,491615;2014-02-12 12:06:25;3;320
"1619";41,903196;12,496099;2014-02-12 12:06:25;2;100
"1630";41,907517;12,490311;2014-02-12 12:06:27;0;349
"1628";41,904828;12,493236;2014-02-12 12:06:27;0;119
"1632";41,903924;12,489078;2014-02-12 12:06:27;0;85
"1637";41,904292;12,49434;2014-02-12 12:06:29;0;242
"1639";41,904083;12,4946;2014-02-12 12:06:29;16;48
"2282";41,904691;12,493728;2014-02-12 12:06:31;0;301
"2287";41,90283;12,489261;2014-02-12 12:06:32;27;24
"2286";41,907974;12,49189;2014-02-12 12:06:32;0;237
"2299";41,907515;12,490312;2014-02-12 12:06:33;0;349
"2300";41,907459;12,489931;2014-02-12 12:06:33;2;81
"2305";41,907766;12,491693;2014-02-12 12:06:35;3;320
"2301";41,903141;12,496107;2014-02-12 12:06:35;2;100
"2306";41,904665;12,493788;2014-02-12 12:06:35;0;340
"2307";41,904665;12,493788;2014-02-12 12:06:35;15;340
"1641";41,903924;12,489078;2014-02-12 12:06:36;0;85
"1648";41,904291;12,494344;2014-02-12 12:06:41;0;242
"1653";41,904691;12,493728;2014-02-12 12:06:41;7;301
"1643";41,904828;12,493236;2014-02-12 12:06:41;13;119
"1672";41,907515;12,490312;2014-02-12 12:06:43;0;349
"1673";41,903763;12,495229;2014-02-12 12:06:43;33;48
"1674";41,907518;12,489876;2014-02-12 12:06:43;23;81
"1671";41,904456;12,494084;2014-02-12 12:06:43;5;340
"1676";41,902316;12,490102;2014-02-12 12:06:44;1;24
"1682";41,907723;12,491596;2014-02-12 12:06:45;3;320
