"";"longitude";"latitude";"unixtime";"file_name";"velocidades"
"1296";-79,8826391409797;-2,18845085867895;2017-10-28 17:11:00;"172";40,8
"549";-79,8837373108749;-2,18938785608023;2017-10-28 17:11:01;"161";24,82
"797";-79,8834311268654;-2,18791982583253;2017-10-28 17:11:02;"165";48,92
"2529";-79,8833607729705;-2,18799523516463;2017-10-28 17:11:02;"188";25,36
"2152";-79,8811180319597;-2,1896807415022;2017-10-28 17:11:03;"184";35,61
"1682";-79,8831655905882;-2,18727708866115;2017-10-28 17:11:04;"180";45,11
"1860";-79,8831655905882;-2,18727708866115;2017-10-28 17:11:04;"182";45,11
"2003";-79,8851348273456;-2,18829099554569;2017-10-28 17:11:04;"183";0
"2315";-79,8829438067045;-2,18740811189844;2017-10-28 17:11:04;"186";49,38
"2869";-79,88196629;-2,18523915;2017-10-28 17:11:04;"194";9,12
"1548";-79,8831843693049;-2,18734546898913;2017-10-28 17:11:04;"179";42,54
"1297";-79,8827646522479;-2,1888324822122;2017-10-28 17:11:05;"172";36,51
"1405";-79,88134759;-2,19030038;2017-10-28 17:11:05;"178";7,88
"550";-79,8837425714787;-2,18940067190239;2017-10-28 17:11:06;"161";1,3
"676";-79,8838084840815;-2,18952365407486;2017-10-28 17:11:06;"162";17,2
"798";-79,8835541685834;-2,18843826155083;2017-10-28 17:11:07;"165";46,19
"2530";-79,8834256726586;-2,18822793148922;2017-10-28 17:11:07;"188";21,43
"2153";-79,8812994681483;-2,19001422554538;2017-10-28 17:11:08;"184";37,07
"1683";-79,883204457588;-2,18771020142146;2017-10-28 17:11:09;"180";33,98
"1861";-79,883204457588;-2,18771020142146;2017-10-28 17:11:09;"182";33,98
"2004";-79,8851348273456;-2,18829099554569;2017-10-28 17:11:09;"183";0
"2316";-79,8830534436097;-2,18787912360415;2017-10-28 17:11:09;"186";41,81
"2870";-79,88172821;-2,18530708;2017-10-28 17:11:09;"194";22,03
"1549";-79,8833548451046;-2,18779700273883;2017-10-28 17:11:09;"179";44,78
"1298";-79,882805991674;-2,18901409340017;2017-10-28 17:11:10;"172";16,05
"1745";-79,88374464;-2,18957042;2017-10-28 17:11:10;"181";37,08
"551";-79,8837425714787;-2,18940067190239;2017-10-28 17:11:11;"161";0
"677";-79,8838016752391;-2,1896056176927;2017-10-28 17:11:12;"162";5,33
"799";-79,8836591134099;-2,18894052336754;2017-10-28 17:11:12;"165";43,72
"2531";-79,8834575518824;-2,18848039489247;2017-10-28 17:11:12;"188";20,47
"1406";-79,88149951;-2,19077644;2017-10-28 17:11:13;"178";28,26
"2154";-79,8813700208794;-2,190057989492;2017-10-28 17:11:13;"184";8,23
"1684";-79,8833544509874;-2,18815996631854;2017-10-28 17:11:14;"180";43,18
"1862";-79,8833544509874;-2,18815996631854;2017-10-28 17:11:14;"182";43,18
"2005";-79,8851335700601;-2,18829518649727;2017-10-28 17:11:14;"183";0,39
"2317";-79,8832080182856;-2,18829876500297;2017-10-28 17:11:14;"186";41,34
"2871";-79,88142876;-2,18538157;2017-10-28 17:11:14;"194";26,92
"1550";-79,8834924432645;-2,18821778226387;2017-10-28 17:11:14;"179";40,2
"1299";-79,882805991674;-2,18901409340017;2017-10-28 17:11:15;"172";0
"552";-79,8837425714787;-2,18940067190239;2017-10-28 17:11:16;"161";0
"678";-79,883819907729;-2,18959165753078;2017-10-28 17:11:17;"162";2,32
"800";-79,8837552826651;-2,18935127838888;2017-10-28 17:11:17;"165";36,5
"2532";-79,8835842878568;-2,1887686360395;2017-10-28 17:11:17;"188";29,88
"2155";-79,8813288123708;-2,19010982638813;2017-10-28 17:11:18;"184";6,7
"2632";-79,889485;-2,18525666666667;2017-10-28 17:11:18;"189";37,56
"1685";-79,8834387307368;-2,18860350007877;2017-10-28 17:11:19;"180";38
"1863";-79,8834387307368;-2,18860350007877;2017-10-28 17:11:19;"182";38
"2006";-79,8851498309523;-2,18836152926087;2017-10-28 17:11:19;"183";5,95
"2318";-79,8832839835115;-2,18872538103966;2017-10-28 17:11:19;"186";36,19
"2382";-79,889465;-2,18519;2017-10-28 17:11:19;"187";33,96
"2872";-79,88117212;-2,18545989;2017-10-28 17:11:19;"194";24,12
"1551";-79,8835922519314;-2,18862496753126;2017-10-28 17:11:19;"179";36,5
"1300";-79,882805991674;-2,18901409340017;2017-10-28 17:11:20;"172";0
"553";-79,8837425714787;-2,18940067190239;2017-10-28 17:11:21;"161";0
"679";-79,883819907729;-2,18959165753078;2017-10-28 17:11:22;"162";0
"801";-79,8837399629028;-2,18944095234776;2017-10-28 17:11:22;"165";7,56
"2533";-79,8836236360031;-2,1890920500121;2017-10-28 17:11:22;"188";26,12
"2156";-79,8813062295966;-2,19024545691732;2017-10-28 17:11:23;"184";11,39
"2633";-79,889475;-2,18552833333333;2017-10-28 17:11:23;"189";20,28
"2007";-79,885183358565;-2,18848910182714;2017-10-28 17:11:24;"183";11,6
"2319";-79,8833598271352;-2,18911506204558;2017-10-28 17:11:24;"186";33,52
"2383";-79,8894783333333;-2,18532333333333;2017-10-28 17:11:24;"187";10,56
"2873";-79,88090881;-2,18553571;2017-10-28 17:11:24;"194";24,42
"1552";-79,8836691023515;-2,18902345741428;2017-10-28 17:11:24;"179";34,22
"1301";-79,882805991674;-2,18901409340017;2017-10-28 17:11:25;"172";0
"554";-79,8837425714787;-2,18940067190239;2017-10-28 17:11:26;"161";0
"680";-79,883819907729;-2,18959165753078;2017-10-28 17:11:27;"162";0
"802";-79,8837312029023;-2,18943371001889;2017-10-28 17:11:27;"165";1,15
"1407";-79,88169743;-2,19169837;2017-10-28 17:11:27;"178";28,8
"2534";-79,8836768934718;-2,18936442448799;2017-10-28 17:11:27;"188";23,45
"1746";-79,88394718;-2,18945351;2017-10-28 17:11:28;"181";6,39
"2157";-79,8814437709089;-2,19056414615456;2017-10-28 17:11:28;"184";32,85
"2634";-79,88955;-2,18559;2017-10-28 17:11:28;"189";9,84
"2008";-79,8852017149329;-2,18868716619909;2017-10-28 17:11:29;"183";15,58
"2320";-79,8834271797286;-2,18950845918076;2017-10-28 17:11:29;"186";33,17
"2384";-79,8895583333333;-2,18555333333333;2017-10-28 17:11:29;"187";22,32
"2874";-79,88064927;-2,18563392;2017-10-28 17:11:29;"194";25,76
"1553";-79,8837230609863;-2,18939466831716;2017-10-28 17:11:29;"179";30,61
"1302";-79,882805991674;-2,18901409340017;2017-10-28 17:11:30;"172";0
"555";-79,8837425714787;-2,18940067190239;2017-10-28 17:11:31;"161";0
"681";-79,883819907729;-2,18959165753078;2017-10-28 17:11:32;"162";0
"803";-79,8837312029023;-2,18943371001889;2017-10-28 17:11:32;"165";0
"2535";-79,8837208474643;-2,18961049456275;2017-10-28 17:11:32;"188";20,88
"1686";-79,8837380937988;-2,18959313034574;2017-10-28 17:11:33;"180";33,15
"1864";-79,8837380937988;-2,18959313034574;2017-10-28 17:11:33;"182";33,15
"2635";-79,8896633333333;-2,18579833333333;2017-10-28 17:11:33;"189";23,16
"2009";-79,8852396011353;-2,18901313841343;2017-10-28 17:11:34;"183";26,2
"2321";-79,8835105049158;-2,18982835150801;2017-10-28 17:11:34;"186";29,03
"2385";-79,8896466666667;-2,18584;2017-10-28 17:11:34;"187";27
"2875";-79,88046736;-2,1856587;2017-10-28 17:11:34;"194";14,88
"1554";-79,8838011336849;-2,18973203186849;2017-10-28 17:11:34;"179";29,91
"1303";-79,8828315951104;-2,18909466230178;2017-10-28 17:11:35;"172";7,64
"682";-79,883819907729;-2,18959165753078;2017-10-28 17:11:37;"162";0
"804";-79,8837312029023;-2,18943371001889;2017-10-28 17:11:37;"165";0
"2536";-79,8837505341254;-2,18974005132748;2017-10-28 17:11:37;"188";11,47
"1687";-79,8838216490444;-2,18996755319276;2017-10-28 17:11:38;"180";32,97
"1865";-79,8838216490444;-2,18996755319276;2017-10-28 17:11:38;"182";32,97
"2636";-79,8897233333333;-2,186065;2017-10-28 17:11:38;"189";23,52
"2010";-79,8851670138538;-2,18918551225215;2017-10-28 17:11:39;"183";17,64
"2322";-79,8836427281506;-2,19011606703888;2017-10-28 17:11:39;"186";30,24
"2386";-79,8897383333333;-2,18611;2017-10-28 17:11:39;"187";26,04
"2876";-79,88014906;-2,18571267;2017-10-28 17:11:39;"194";26,8
"1555";-79,8839266478327;-2,19009606038048;2017-10-28 17:11:39;"179";35,25
"1304";-79,8828722909472;-2,18926885387657;2017-10-28 17:11:40;"172";15,47
"805";-79,8837312029023;-2,18943371001889;2017-10-28 17:11:42;"165";0
"2537";-79,8837806155846;-2,18997047190792;2017-10-28 17:11:42;"188";18,76
"1688";-79,8839030443071;-2,19032420716063;2017-10-28 17:11:43;"180";31,54
"1866";-79,8839030443071;-2,19032420716063;2017-10-28 17:11:43;"182";31,54
"2637";-79,8898116666667;-2,18631;2017-10-28 17:11:43;"189";24
"2011";-79,88515435718;-2,18922683503479;2017-10-28 17:11:44;"183";3,89
"2323";-79,8837857874491;-2,19044578893135;2017-10-28 17:11:44;"186";34,04
"2387";-79,889835;-2,18637666666667;2017-10-28 17:11:44;"187";26,16
"2877";-79,87988648;-2,18578037;2017-10-28 17:11:44;"194";23,78
"1556";-79,8840137685574;-2,19041950016593;2017-10-28 17:11:44;"179";29,56
"1305";-79,8829705248117;-2,18946265844754;2017-10-28 17:11:45;"172";21,03
"1747";-79,88374597;-2,1896623;2017-10-28 17:11:46;"181";8,2
"806";-79,8837312029023;-2,18943371001889;2017-10-28 17:11:47;"165";0
"2538";-79,8838491730768;-2,19024829661906;2017-10-28 17:11:47;"188";24,94
